id,title,tmdb_id,overview,release_date,duration,rating,vote_count,language,poster_url
66,High Forces,949709,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage, and international security expert Gao Haojun stood up to a group of thugs, his daughter Xiaojun was trapped in the cabin, and Mike, the leader of the hijackers, threatened the lives of more than 800 people in the plane as a bargaining chip, and Xiaojun's mother, Fu Yuan, was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?",2024-09-29,115,6.0,28,zh,949709_v8ySgr4CE45SrrIt4PqqYc1diW6.jpg
67,Fast X: Part 2,755679,"The eleventh installment in The Fast Saga, and a direct sequel to ""Fast X"".",,0,0.0,0,en,755679_lD8V3DBban95Mxz4sjuA81Tw771.jpg
68,Black Phone 2,1197137,"Four years after escaping The Grabber, Finney Blake is struggling with his life after captivity. When his sister Gwen begins receiving calls in her dreams from the black phone and seeing disturbing visions of three boys being stalked at a winter camp, the siblings become determined to solve the mystery and confront a killer who has grown more powerful in death and more significant to them than either could imagine.",2025-10-15,114,6.857,728,en,1197137_gFddBLQ8wj9M9O82iPzgX5KVNHz.jpg
69,Superman,1061474,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",2025-07-09,130,7.4,4017,en,1061474_ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg
70,The SpongeBob Movie: Search for SquarePants,991494,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",2025-12-16,96,7.2,13,en,991494_n92wqmgHhMU0Mzc49AzRUhyhQ65.jpg
71,Home Alone 2: Lost in New York,772,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",1992-11-15,120,6.769,10261,en,772_uuitWHpJwxD1wruFl2nZHIb4UGN.jpg
72,Interstellar,157336,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,2014-11-05,169,8.5,38433,en,157336_gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
73,Jurassic World Rebirth,1234821,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",2025-07-01,134,6.374,2629,en,1234821_1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg
74,Border Hunters,1469354,"After his police officer brother is killed by a drug dealer who flees to the protection of his cartel-connected uncle in Mexico, an American man with a diverse law enforcement/military background goes south of the border to get revenge",2025-10-20,82,8.0,12,en,1469354_6TNFZnJ5CU0uFQxGaO9dbqriiI7.jpg
75,Sidelined 2: Intercepted,1429520,"Freshman star quarterback Drayton struggles with the weight of expectations after a devastating setback, while dancer Dallas begins to question the future she thought she wanted. As their high school relationship begins to unravel under the pressures of distance and self-discovery, they’ll learn that the bravest versions of themselves emerge when they let life redirect them.",2025-11-27,100,7.083,12,en,1429520_sEIP1pTVXa8BJaYSuVeVG3wFN10.jpg
